archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,timestamp,_file
LORE_MAGE,0,3119777118,DEATH,2,481,6,1,42,72,0,5,0,0,0,11,11,4,1,2026-02-08T14:02:19,LORE_MAGE_0.json
LORE_MAGE,1,3871884924,DEATH,1,27,2,0,48,0,0,0,0,0,0,0,10,4,1,2026-02-08T14:01:55,LORE_MAGE_1.json
LORE_MAGE,10,3972476189,DEATH,1,54,2,0,45,0,0,25,0,0,0,10,10,4,1,2026-02-08T14:02:25,LORE_MAGE_10.json
LORE_MAGE,11,467237828,DEATH,2,75,0,2,42,0,0,10,0,0,0,6,11,4,1,2026-02-08T14:02:30,LORE_MAGE_11.json
LORE_MAGE,12,2073610638,DEATH,1,78,1,0,41,0,1,23,0,0,0,29,10,4,1,2026-02-08T14:02:31,LORE_MAGE_12.json
LORE_MAGE,13,4292383720,DEATH,3,361,6,2,58,36,0,30,0,0,0,20,12,4,1,2026-02-08T14:02:53,LORE_MAGE_13.json
LORE_MAGE,14,2171228780,DEATH,2,87,1,0,42,0,1,25,0,0,0,7,11,4,1,2026-02-08T14:02:39,LORE_MAGE_14.json
LORE_MAGE,15,3895540754,DEATH,2,137,2,0,43,0,0,34,0,0,0,12,11,4,1,2026-02-08T14:02:46,LORE_MAGE_15.json
LORE_MAGE,16,1952474281,DEATH,4,112,4,0,43,0,0,24,0,0,0,12,13,4,1,2026-02-08T14:02:49,LORE_MAGE_16.json
LORE_MAGE,17,2603748334,DEATH,2,128,1,1,41,12,0,5,0,0,0,8,11,4,1,2026-02-08T14:02:56,LORE_MAGE_17.json
LORE_MAGE,18,2596123203,DEATH,2,187,2,0,43,23,0,3,0,0,0,6,11,4,1,2026-02-08T14:03:01,LORE_MAGE_18.json
LORE_MAGE,19,304194187,DEATH,1,262,6,0,45,36,0,2,0,0,0,7,11,4,1,2026-02-08T14:03:06,LORE_MAGE_19.json
LORE_MAGE,2,95077780,DEATH,3,129,0,1,42,0,0,8,0,1,0,4,12,4,1,2026-02-08T14:02:03,LORE_MAGE_2.json
LORE_MAGE,3,2124610123,DEATH,2,36,0,0,45,0,0,0,0,0,0,2,9,3,1,2026-02-08T14:01:59,LORE_MAGE_3.json
LORE_MAGE,4,1857166953,DEATH,2,117,2,0,54,0,0,1,0,0,0,4,10,3,1,2026-02-08T14:02:08,LORE_MAGE_4.json
LORE_MAGE,5,4238703316,DEATH,1,73,6,0,41,0,0,24,0,0,0,6,11,4,1,2026-02-08T14:02:09,LORE_MAGE_5.json
LORE_MAGE,6,29531287,DEATH,2,118,3,0,43,0,0,8,0,0,0,6,11,4,1,2026-02-08T14:02:17,LORE_MAGE_6.json
LORE_MAGE,7,2709555452,DEATH,3,628,10,1,42,97,0,26,0,1,0,20,13,4,2,2026-02-08T14:02:48,LORE_MAGE_7.json
LORE_MAGE,8,1442105427,DEATH,2,109,0,1,48,0,0,24,0,0,0,4,11,4,2,2026-02-08T14:02:23,LORE_MAGE_8.json
LORE_MAGE,9,3974862225,DEATH,1,276,2,0,44,24,0,33,0,0,0,8,10,4,1,2026-02-08T14:02:35,LORE_MAGE_9.json
