archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
STEALTH_ASSASSIN,0,3278053697,DEATH,1,91,2,1,38,0,0,0,0,1,0,6,10,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:20,STEALTH_ASSASSIN_0.json
STEALTH_ASSASSIN,1,3878770365,DEATH,4,282,2,4,36,5,5,0,0,1,0,1,13,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,2026-02-08T16:38:50,STEALTH_ASSASSIN_1.json
STEALTH_ASSASSIN,10,1310637284,DEATH,1,8,0,0,37,0,0,0,0,0,0,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:02,STEALTH_ASSASSIN_10.json
STEALTH_ASSASSIN,11,4072735828,DEATH,1,8,0,0,41,0,0,0,0,0,0,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:03,STEALTH_ASSASSIN_11.json
STEALTH_ASSASSIN,12,856478412,DEATH,1,41,1,1,38,0,0,0,0,0,0,4,10,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:07,STEALTH_ASSASSIN_12.json
STEALTH_ASSASSIN,13,2273731772,DEATH,1,10,1,0,36,0,0,0,0,0,0,4,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:05,STEALTH_ASSASSIN_13.json
STEALTH_ASSASSIN,14,1467721669,DEATH,1,78,0,0,35,0,0,0,0,0,0,2,10,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:09,STEALTH_ASSASSIN_14.json
STEALTH_ASSASSIN,15,1591166967,DEATH,1,6,0,0,37,0,0,0,0,0,0,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:07,STEALTH_ASSASSIN_15.json
STEALTH_ASSASSIN,16,2055756160,DEATH,1,111,1,0,35,0,0,0,0,0,0,4,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:15,STEALTH_ASSASSIN_16.json
STEALTH_ASSASSIN,17,1502384368,DEATH,3,582,14,7,40,0,0,0,0,2,0,32,15,2,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:44,STEALTH_ASSASSIN_17.json
STEALTH_ASSASSIN,18,3431501101,DEATH,4,274,11,4,44,5,4,0,0,2,0,16,15,2,0,6,5,16,0,0,0,0,0,0,0,0,0,0,20,2026-02-08T16:39:37,STEALTH_ASSASSIN_18.json
STEALTH_ASSASSIN,19,4148307682,DEATH,2,254,11,2,39,0,0,0,0,1,0,28,12,2,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:27,STEALTH_ASSASSIN_19.json
STEALTH_ASSASSIN,2,2933152809,DEATH,1,292,4,0,34,0,1,0,0,0,0,32,11,2,0,92,11,3,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:44,STEALTH_ASSASSIN_2.json
STEALTH_ASSASSIN,20,3053212364,DEATH,3,167,5,1,35,0,3,0,0,1,0,10,13,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:34,STEALTH_ASSASSIN_20.json
