archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
SMITH,0,2675155554,DEATH,1,76,5,1,85,0,0,0,0,0,0,0,11,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:36:32,SMITH_0.json
SMITH,1,780585226,DEATH,1,27,0,0,92,0,0,0,0,0,0,0,10,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:36:29,SMITH_1.json
SMITH,10,586745085,DEATH,3,457,4,4,91,38,0,0,5,2,0,0,13,2,0,0,3,14,0,0,0,0,0,0,0,0,0,0,152,2026-02-08T16:37:34,SMITH_10.json
SMITH,11,425849606,DEATH,1,119,1,0,90,16,0,0,0,0,0,4,10,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,70,2026-02-08T16:37:23,SMITH_11.json
SMITH,12,1074676475,DEATH,3,789,8,5,135,91,0,0,9,2,0,2,14,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,364,2026-02-08T16:38:03,SMITH_12.json
SMITH,13,2728212286,DEATH,1,10,0,0,85,0,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:24,SMITH_13.json
SMITH,14,3862343051,DEATH,1,14,1,0,85,0,0,0,0,0,0,0,10,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:26,SMITH_14.json
SMITH,15,3594924543,DEATH,3,682,7,2,102,119,0,0,14,2,0,4,13,2,0,6,9,6,0,0,0,0,0,0,0,0,0,0,483,2026-02-08T16:38:05,SMITH_15.json
SMITH,16,1492257735,DEATH,1,12,2,0,89,0,0,0,0,0,0,0,10,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:29,SMITH_16.json
SMITH,17,3139601600,DEATH,2,293,7,5,85,0,0,0,2,4,0,0,13,2,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:48,SMITH_17.json
