archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
LORE_MAGE,0,3119777118,DEATH,2,452,2,2,41,78,1,35,0,2,0,3,11,4,1,0,0,5,0,0,0,0,0,0,0,0,0,35,316,2026-02-08T16:36:59,LORE_MAGE_0.json
LORE_MAGE,1,3871884924,DEATH,1,346,0,0,44,74,0,35,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,300,2026-02-08T16:36:51,LORE_MAGE_1.json
LORE_MAGE,10,3972476189,DEATH,1,410,3,0,46,74,0,24,0,0,0,6,10,4,0,0,8,0,0,0,0,0,0,0,0,17,0,1,302,2026-02-08T16:37:51,LORE_MAGE_10.json
LORE_MAGE,11,467237828,DEATH,3,914,4,1,79,186,0,24,0,0,0,8,12,4,1,0,7,5,0,0,0,0,0,0,0,0,0,1,756,2026-02-08T16:38:20,LORE_MAGE_11.json
LORE_MAGE,12,2073610638,DEATH,1,387,2,0,45,74,0,35,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,300,2026-02-08T16:37:53,LORE_MAGE_12.json
LORE_MAGE,13,4292383720,DEATH,1,79,1,0,42,0,1,32,0,0,0,1,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2026-02-08T16:37:43,LORE_MAGE_13.json
LORE_MAGE,14,2171228780,DEATH,3,1039,2,0,52,222,0,28,0,0,0,7,12,4,1,0,0,0,0,0,0,0,0,0,0,15,0,8,901,2026-02-08T16:38:44,LORE_MAGE_14.json
LORE_MAGE,15,3895540754,DEATH,1,133,2,0,42,0,0,7,0,0,0,4,10,4,1,0,4,0,0,0,0,0,0,0,0,0,0,7,0,2026-02-08T16:38:00,LORE_MAGE_15.json
LORE_MAGE,16,1952474281,DEATH,6,1495,10,5,88,279,1,35,17,3,0,14,16,4,1,8,1,12,0,0,0,0,0,0,0,0,0,35,1136,2026-02-08T16:39:22,LORE_MAGE_16.json
LORE_MAGE,17,2603748334,DEATH,5,849,3,2,69,168,2,32,0,0,0,4,14,4,1,0,0,4,0,0,0,0,0,0,0,4,0,26,680,2026-02-08T16:38:54,LORE_MAGE_17.json
LORE_MAGE,18,2596123203,DEATH,2,510,5,3,42,78,2,35,0,1,0,5,11,4,1,0,0,6,0,0,0,0,0,0,0,0,0,34,316,2026-02-08T16:38:53,LORE_MAGE_18.json
LORE_MAGE,19,304194187,DEATH,3,1385,3,1,41,296,0,35,0,0,0,1,12,4,0,0,0,3,0,0,0,0,0,0,0,0,0,35,1200,2026-02-08T16:40:04,LORE_MAGE_19.json
LORE_MAGE,2,95077780,DEATH,3,453,3,0,69,76,2,34,0,0,0,4,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,34,310,2026-02-08T16:36:59,LORE_MAGE_2.json
LORE_MAGE,20,1511180654,DEATH,2,609,0,2,47,111,0,24,0,2,0,3,11,4,1,0,5,2,0,0,0,0,0,0,0,0,0,1,450,2026-02-08T16:39:29,LORE_MAGE_20.json
LORE_MAGE,21,3015824152,DEATH,3,1354,2,1,41,296,0,25,0,0,0,1,12,4,1,0,0,2,0,0,0,0,0,0,0,23,0,2,1200,2026-02-08T16:40:13,LORE_MAGE_21.json
LORE_MAGE,22,3758731074,DEATH,1,44,2,1,41,2,1,4,0,1,0,3,10,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,8,2026-02-08T16:39:29,LORE_MAGE_22.json
LORE_MAGE,23,2166266752,DEATH,1,291,7,1,41,40,0,35,0,1,0,8,11,4,1,7,3,5,0,0,0,0,0,0,0,2,0,30,164,2026-02-08T16:39:47,LORE_MAGE_23.json
LORE_MAGE,24,1907068879,DEATH,3,1053,2,2,41,222,0,36,2,2,0,2,12,4,1,0,1,4,0,0,0,0,0,0,0,0,0,31,900,2026-02-08T16:40:31,LORE_MAGE_24.json
